,year,LocationAbbr,state,Disability_Type,Disability_Percent,Number,Estimated_Number,id
1,2019,SD,South Dakota,Vision Disability,0.036,335.0,25682.0,46
2,2016,AK,Alaska,Independent Living Disability,0.043,145.0,23447.0,2
3,2016,AZ,Arizona,No Disability,0.7509999999999999,7026.0,3722955.0,4
4,2016,AL,Alabama,Vision Disability,0.065,480.0,244628.0,1
5,2016,CT,Connecticut,Self-care Disability,0.027,343.0,81085.0,9
6,2016,CA,California,Self-care Disability,0.033,403.0,993955.0,6
7,2016,AL,Alabama,Independent Living Disability,0.095,754.0,364956.0,1
8,2016,DE,Delaware,Mobility Disability,0.118,672.0,97475.0,10
9,2016,AZ,Arizona,Self-care Disability,0.032,474.0,172812.0,4
10,2016,CO,Colorado,Independent Living Disability,0.049,734.0,196079.0,8
11,2016,AR,Arkansas,Mobility Disability,0.18,1348.0,438913.0,5
12,2016,DE,Delaware,No Disability,0.762,2760.0,539596.0,10
13,2016,AZ,Arizona,Independent Living Disability,0.063,814.0,330421.0,4
14,2016,CT,Connecticut,Hearing Disability,0.043,749.0,138413.0,9
15,2016,CO,Colorado,Hearing Disability,0.043,863.0,177299.0,8
16,2016,AL,Alabama,No Disability,0.682,4236.0,2421930.0,1
17,2016,AZ,Arizona,Hearing Disability,0.067,1156.0,387084.0,4
18,2016,AL,Alabama,Any Disability,0.318,2534.0,1218125.0,1
19,2016,CA,California,Independent Living Disability,0.0579999999999999,678.0,1682258.0,6
20,2016,AK,Alaska,Hearing Disability,0.0559999999999999,209.0,28854.0,2
21,2016,DE,Delaware,Hearing Disability,0.057,316.0,47838.0,10
22,2016,CO,Colorado,Self-care Disability,0.024,408.0,98346.0,8
23,2016,DE,Delaware,Cognitive Disability,0.099,398.0,71326.0,10
24,2016,AK,Alaska,Self-care Disability,0.025,88.0,13702.0,2
25,2016,CT,Connecticut,Vision Disability,0.0409999999999999,416.0,117919.0,9
26,2016,DE,Delaware,Self-care Disability,0.0279999999999999,144.0,21741.0,10
27,2016,AR,Arkansas,Hearing Disability,0.0819999999999999,633.0,202667.0,5
28,2016,CO,Colorado,Mobility Disability,0.0819999999999999,1656.0,340006.0,8
29,2016,CT,Connecticut,Mobility Disability,0.095,1452.0,296188.0,9
30,2016,AK,Alaska,Any Disability,0.192,651.0,100857.0,2
31,2016,AR,Arkansas,Independent Living Disability,0.106,587.0,244004.0,5
32,2016,AL,Alabama,Cognitive Disability,0.143,979.0,523704.0,1
33,2016,CA,California,Cognitive Disability,0.095,1061.0,2718561.0,6
34,2016,CA,California,Mobility Disability,0.1119999999999999,1425.0,3358303.0,6
35,2016,CO,Colorado,Vision Disability,0.0279999999999999,473.0,114465.0,8
36,2016,CO,Colorado,No Disability,0.813,10524.0,3161157.0,8
37,2016,AR,Arkansas,Cognitive Disability,0.154,666.0,342276.0,5
38,2016,AZ,Arizona,Vision Disability,0.044,603.0,239328.0,4
39,2016,CT,Connecticut,Cognitive Disability,0.09,753.0,240758.0,9
40,2016,CA,California,No Disability,0.777,8048.0,21821005.0,6
41,2016,AL,Alabama,Mobility Disability,0.182,1632.0,729861.0,1
42,2016,AK,Alaska,Vision Disability,0.032,116.0,17526.0,2
43,2016,CT,Connecticut,Independent Living Disability,0.05,603.0,144887.0,9
44,2016,DE,Delaware,Independent Living Disability,0.059,267.0,44948.0,10
45,2016,CT,Connecticut,No Disability,0.7909999999999999,8072.0,2121468.0,9
46,2016,AL,Alabama,Hearing Disability,0.065,587.0,265738.0,1
47,2016,AK,Alaska,Cognitive Disability,0.076,210.0,40903.0,2
48,2016,AR,Arkansas,Self-care Disability,0.0579999999999999,350.0,136050.0,5
49,2016,AR,Arkansas,Vision Disability,0.065,416.0,155205.0,5
50,2016,DE,Delaware,Any Disability,0.238,1169.0,185501.0,10
51,2016,CT,Connecticut,Any Disability,0.209,2574.0,605684.0,9
52,2016,AK,Alaska,No Disability,0.8079999999999999,2165.0,435598.0,2
53,2016,AZ,Arizona,Mobility Disability,0.123,2051.0,689468.0,4
54,2016,CA,California,Vision Disability,0.042,502.0,1236853.0,6
55,2016,AK,Alaska,Mobility Disability,0.088,345.0,46460.0,2
56,2016,CO,Colorado,Any Disability,0.187,3062.0,742860.0,8
57,2016,CA,California,Hearing Disability,0.045,604.0,1335697.0,6
58,2016,AL,Alabama,Self-care Disability,0.051,403.0,195136.0,1
59,2016,AR,Arkansas,Any Disability,0.331,2059.0,767548.0,5
60,2016,CO,Colorado,Cognitive Disability,0.079,982.0,308218.0,8
61,2016,CA,California,Any Disability,0.223,2630.0,6479729.0,6
62,2016,AZ,Arizona,Cognitive Disability,0.106,1037.0,541038.0,4
63,2016,AR,Arkansas,No Disability,0.669,3039.0,1441461.0,5
64,2016,DE,Delaware,Vision Disability,0.044,208.0,33995.0,10
65,2016,AZ,Arizona,Any Disability,0.249,3472.0,1335910.0,4
66,2016,DC,District of Columbia,No Disability,0.769,2743.0,427043.0,11
67,2016,GA,Georgia,No Disability,0.737,3492.0,5487099.0,13
69,2016,FL,Florida,Vision Disability,0.054,2539.0,921453.0,12
70,2016,HI,Hawaii,Self-care Disability,0.025,228.0,28250.0,15
71,2016,HHS10,HHS Region 10,Self-care Disability,0.0279999999999999,966.0,306938.0,89
72,2016,FL,Florida,Independent Living Disability,0.077,3369.0,1282103.0,12
73,2016,GA,Georgia,Self-care Disability,0.036,258.0,290918.0,13
76,2016,DC,District of Columbia,Independent Living Disability,0.0559999999999999,266.0,29342.0,11
78,2016,HHS10,HHS Region 10,Independent Living Disability,0.0579999999999999,1739.0,608627.0,89
79,2016,GA,Georgia,Vision Disability,0.05,327.0,393895.0,13
80,2016,HHS10,HHS Region 10,Cognitive Disability,0.105,2542.0,1075732.0,89
81,2016,GA,Georgia,Hearing Disability,0.05,403.0,398499.0,13
82,2016,DC,District of Columbia,Cognitive Disability,0.098,351.0,53511.0,11
84,2016,FL,Florida,Any Disability,0.2789999999999999,12967.0,4744369.0,12
86,2016,FL,Florida,Cognitive Disability,0.131,4846.0,2074410.0,12
87,2016,HI,Hawaii,No Disability,0.795,5862.0,846676.0,15
88,2016,DC,District of Columbia,Hearing Disability,0.046,218.0,24050.0,11
90,2016,HHS10,HHS Region 10,Vision Disability,0.031,990.0,335183.0,89
93,2016,HI,Hawaii,Mobility Disability,0.092,990.0,110208.0,15
94,2016,GA,Georgia,Independent Living Disability,0.073,455.0,565426.0,13
96,2016,HHS10,HHS Region 10,Mobility Disability,0.106,3965.0,1187924.0,89
97,2016,FL,Florida,Hearing Disability,0.05,3478.0,972406.0,12
98,2016,GA,Georgia,Cognitive Disability,0.122,586.0,923776.0,13
101,2016,FL,Florida,Self-care Disability,0.045,2054.0,757688.0,12
102,2016,HI,Hawaii,Vision Disability,0.045,349.0,51106.0,15
103,2016,HI,Hawaii,Any Disability,0.205,1939.0,236073.0,15
104,2016,DC,District of Columbia,Vision Disability,0.051,228.0,26894.0,11
105,2016,HHS10,HHS Region 10,Hearing Disability,0.049,1929.0,554413.0,89
106,2016,GA,Georgia,Any Disability,0.263,1673.0,2033265.0,13
108,2016,HI,Hawaii,Independent Living Disability,0.049,418.0,54789.0,15
109,2016,DC,District of Columbia,Self-care Disability,0.031,154.0,16198.0,11
114,2016,FL,Florida,No Disability,0.721,22306.0,10917323.0,12
115,2016,GA,Georgia,Mobility Disability,0.146,1073.0,1160354.0,13
117,2016,DC,District of Columbia,Any Disability,0.231,1016.0,122063.0,11
118,2016,FL,Florida,Mobility Disability,0.142,7906.0,2545981.0,12
119,2016,HI,Hawaii,Cognitive Disability,0.086,690.0,93586.0,15
120,2016,HI,Hawaii,Hearing Disability,0.0579999999999999,587.0,70269.0,15
122,2016,HHS10,HHS Region 10,Any Disability,0.2269999999999999,7102.0,2412757.0,89
127,2016,HHS10,HHS Region 10,No Disability,0.773,19665.0,7809754.0,89
128,2016,DC,District of Columbia,Mobility Disability,0.121,609.0,61735.0,11
136,2016,ID,Idaho,Cognitive Disability,0.094,476.0,113525.0,16
139,2016,ID,Idaho,Vision Disability,0.0289999999999999,192.0,35996.0,16
142,2016,ID,Idaho,Hearing Disability,0.04,354.0,52672.0,16
146,2016,ID,Idaho,No Disability,0.789,3681.0,931236.0,16
162,2016,ID,Idaho,Independent Living Disability,0.0579999999999999,360.0,71510.0,16
176,2016,ID,Idaho,Any Disability,0.211,1371.0,264474.0,16
184,2016,ID,Idaho,Self-care Disability,0.027,199.0,34368.0,16
192,2016,ID,Idaho,Mobility Disability,0.098,791.0,129345.0,16
194,2016,LA,Louisiana,Independent Living Disability,0.084,555.0,302474.0,22
195,2016,MD,Maryland,Hearing Disability,0.037,1117.0,185253.0,24
196,2016,IA,Iowa,Any Disability,0.213,1878.0,531559.0,19
197,2016,LA,Louisiana,Self-care Disability,0.047,324.0,172606.0,22
198,2016,ME,Maine,Any Disability,0.231,2541.0,259082.0,23
199,2016,IA,Iowa,Hearing Disability,0.057,596.0,152844.0,19
200,2016,LA,Louisiana,Mobility Disability,0.176,1244.0,643247.0,22
201,2016,IN,Indiana,Vision Disability,0.038,528.0,200453.0,18
202,2016,IL,Illinois,Vision Disability,0.031,198.0,328365.0,17
203,2016,KY,Kentucky,Any Disability,0.332,3950.0,1176897.0,21
204,2016,KS,Kansas,No Disability,0.775,8367.0,1590676.0,20
205,2016,IA,Iowa,Vision Disability,0.024,241.0,60204.0,19
206,2016,MD,Maryland,No Disability,0.792,13034.0,3509576.0,24
207,2016,ME,Maine,Vision Disability,0.0289999999999999,322.0,32902.0,23
208,2016,KY,Kentucky,Self-care Disability,0.049,575.0,178297.0,21
209,2016,ME,Maine,No Disability,0.769,7224.0,790533.0,23
210,2016,LA,Louisiana,No Disability,0.696,3162.0,2361587.0,22
211,2016,MD,Maryland,Any Disability,0.208,4587.0,967871.0,24
212,2016,ME,Maine,Mobility Disability,0.102,1358.0,126056.0,23
